Frame Number,bubblegum,mumbathon,gaze-distance_bubblegum_mumbathon
96,Off-surface,"0.1299986332725, 0.674798505349",One player's frame missing
97,Off-surface,"0.13096163859499999, 0.6746129228064999",One player's frame missing
98,"0.24985667714499998, 0.9213859627619999","0.1319607640395, 0.672960875936",0.27498085404530476
99,Noisy,"0.133481049505, 0.674128008196",One player's frame missing
100,Noisy,"0.13490397024950002, 0.675221862304",One player's frame missing
101,Noisy,"0.13533471382, 0.674650880071",One player's frame missing
102,Noisy,"0.1337430480435, 0.6783781872279999",One player's frame missing
103,Noisy,"0.13502859604599998, 0.6693644361895",One player's frame missing
104,Noisy,"0.169098312255, 0.539681594222",One player's frame missing
105,Noisy,"0.139842230297, 0.35220039330700004",One player's frame missing
106,Noisy,"0.136514999897, 0.338283068546",One player's frame missing
107,Noisy,"0.1383776432645, 0.335901171981",One player's frame missing
108,Noisy,"0.137828483537, 0.33112192129250007",One player's frame missing
109,Noisy,"0.1375452691845, 0.325378687669",One player's frame missing
110,Noisy,"0.1404543632065, 0.324139132336",One player's frame missing
111,Noisy,"0.139153657387, 0.32155383514",One player's frame missing
112,Noisy,"0.13918858117549998, 0.317444470448",One player's frame missing
113,Noisy,"0.138219770928, 0.317637259055",One player's frame missing
114,Noisy,"0.1363536719455, 0.3177046064525",One player's frame missing
115,Noisy,"0.13371593972, 0.31843804398849995",One player's frame missing
116,"0.2960076232285, 0.772801661348","0.13157135583649998, 0.3159647255855",0.4855298877625186
117,Noisy,"0.139168274888, 0.3094766132455",One player's frame missing
118,Noisy,"0.18253649986550002, 0.22325566316849998",One player's frame missing
119,Noisy,"0.1840664913335, 0.2099081020805",One player's frame missing
120,"0.28845302318, 0.6542182080005","0.1856160706725, 0.209304733528",0.4566436669529336
121,Noisy,"0.1873571307015, 0.20881139466350002",One player's frame missing
122,Noisy,"0.189436390736, 0.212121822407",One player's frame missing
123,Noisy,"0.1880495155745, 0.21121602376799997",One player's frame missing
124,Noisy,"0.191209802934, 0.2099090033075",One player's frame missing
125,Missing,"0.1894454340905, 0.2111195196465",One player's frame missing
126,Noisy,"0.18176612696, 0.22352505076",One player's frame missing
127,"0.312448579759, 0.6223119696674999","0.1805571447865, 0.225558491827",0.4181012709830445
128,"0.312233585097, 0.614994870616","0.18040518369000003, 0.22605911831550002",0.41066987573363717
129,Noisy,"0.1800871534025, 0.2263078668085",One player's frame missing
130,Noisy,"0.181191002833, 0.2276225841135",One player's frame missing
131,Noisy,"0.18014765044599998, 0.2241119927165",One player's frame missing
132,"0.30398433016399995, 0.6138980779995","0.1812573459365, 0.22635278287099997",0.40651355258319893
133,Noisy,"0.180093524037, 0.2244067304555",One player's frame missing
134,Noisy,"0.1802386909495, 0.2233683523295",One player's frame missing
135,Noisy,"0.179446358543, 0.224710250472",One player's frame missing
136,Noisy,"0.17839005052749998, 0.220340595297",One player's frame missing
137,Noisy,"0.17800433932249998, 0.22134997889000002",One player's frame missing
138,Noisy,"0.176613964676, 0.223715499674",One player's frame missing
139,Noisy,"0.1689647576035, 0.2406813247995",One player's frame missing
140,Noisy,"0.16479751454150002, 0.24540112791149998",One player's frame missing
141,Noisy,"0.16742394809900002, 0.2413966829755",One player's frame missing
142,Noisy,"0.16736211749399998, 0.24523242284750002",One player's frame missing
143,Noisy,"0.16662137029500002, 0.24427185031850002",One player's frame missing
144,Noisy,"0.171212809484, 0.2481628738455",One player's frame missing
145,Noisy,"0.1731499064605, 0.248452440393",One player's frame missing
146,Noisy,"0.17516225757549997, 0.25376904008400003",One player's frame missing
147,Noisy,"0.17517196514299999, 0.251135252139",One player's frame missing
148,Noisy,"0.1753223818945, 0.25345748114800004",One player's frame missing
149,Noisy,"0.174912738207, 0.250929139543",One player's frame missing
150,Noisy,"0.17563918118, 0.2525381806985",One player's frame missing
151,Noisy,"0.1736669797655, 0.25245268749500005",One player's frame missing
152,"0.300443056347, 0.5510183709600001","0.1747773251135, 0.248095784073",0.32795421883665765
153,Noisy,"0.17629069540199999, 0.2491714806555",One player's frame missing
154,"0.30518753146449995, 0.5540087113715","0.17614689063849998, 0.24795057800499998",0.3321491652624932
155,Noisy,"0.1941777287525, 0.2534209396675",One player's frame missing
156,"0.3042539767925, 0.55474275643","0.19564537581549998, 0.2530436113475",0.32065277536564785
157,"0.304470481868, 0.556196764567","0.19081490506600002, 0.24934104892050002",0.32722778054914736
158,Noisy,"0.1943905324375, 0.25319944992200005",One player's frame missing
159,"0.32809190805550004, 0.5760474747235","0.1899716871565, 0.2558054950915",0.3487579689982881
160,Noisy,"0.1902788184015, 0.25583123643399996",One player's frame missing
161,Noisy,"0.18902799191000003, 0.258283727144",One player's frame missing
162,"0.335459091246, 0.579991930331","0.19036779077799998, 0.2565224117685",0.3545194140107859
163,"0.3213828544345, 0.575746487789","0.18836937620299998, 0.25652491535599997",0.3458250969751021
164,Noisy,"0.190610834014, 0.252188580599",One player's frame missing
165,Noisy,"0.204997016613, 0.2593196105765",One player's frame missing
166,Noisy,"0.204280911736, 0.262700013446",One player's frame missing
167,Noisy,"0.206100984923, 0.261475642191",One player's frame missing
168,Noisy,"0.204851756843, 0.25723798840150003",One player's frame missing
169,"0.32822376908249995, 0.5721763887460001","0.20428564645, 0.2564953498375",0.33913887504681406
170,"0.320023981834, 0.5818479012910001","0.2029482268305, 0.2536809840705",0.3484253979945292
171,"0.31954231739966665, 0.5832299500073334","0.205104918907, 0.250769152354",0.3516050343070475
172,"0.318333140906, 0.586035573756","0.20592380273900002, 0.2512966820395",0.3531090269799594
173,"0.3380528681335, 0.594816728023","0.20336098976150002, 0.2482516848825",0.3718188150515709
174,"0.347345647066, 0.592473029183","0.2015320966215, 0.249577866596",0.37261063326050686
175,"0.34278338648600004, 0.606739663821","0.2021937318945, 0.249183563436",0.3842028317187231
176,Noisy,"0.20000010860099998, 0.24864546841850002",One player's frame missing
177,Noisy,"0.20208339526650002, 0.248258525202",One player's frame missing
178,Noisy,"0.2021084220275, 0.2475132241095",One player's frame missing
179,Noisy,"0.201442922829, 0.24589285848249998",One player's frame missing
180,Noisy,"0.200428531821, 0.24282133758000002",One player's frame missing
181,"0.3523505151356667, 0.59374901288","0.20363607169566666, 0.24468258057399997",0.37942503851289033
182,Noisy,"0.221007147049, 0.244721462469",One player's frame missing
183,Noisy,"0.2198376956485, 0.2419678437215",One player's frame missing
184,Noisy,"0.219659095927, 0.238696412913",One player's frame missing
185,Noisy,"0.221032644594, 0.239798428152",One player's frame missing
186,Noisy,"0.21984028227966665, 0.23139866691433333",One player's frame missing
187,Noisy,"0.21856377311050001, 0.22682900326400002",One player's frame missing
188,Noisy,"0.21609771349899998, 0.22369108917",One player's frame missing
189,Noisy,"0.21881475689700003, 0.2176356127595",One player's frame missing
190,Noisy,"0.21788179068799998, 0.21480062096000002",One player's frame missing
191,Noisy,"0.21296780119266664, 0.2112726480146667",One player's frame missing
192,Noisy,"0.2110761907125, 0.2060168218255",One player's frame missing
193,"0.367557864303, 0.6178562574775","0.21312945932, 0.2011777626215",0.4443749546734773
194,"0.370824455555, 0.616742179248","0.21451269090200004, 0.1987137638195",0.4462971251023217
195,"0.3705794608755, 0.6127996005915","0.211642489548, 0.203211058047",0.43934466542623024
196,"0.3709160335895, 0.6181991035375001","0.21433456467099998, 0.1891582463355",0.4567207172411847
197,"0.37089694029700004, 0.6201561113755001","0.2139289763336667, 0.18454955872766665",0.46302484859942883
198,"0.37014341724800004, 0.6141860697105","0.2121861454585, 0.1832216805365",0.4589997869795812
199,"0.3722416598915, 0.6196823693175","0.2129613328435, 0.183920873594",0.4639593772516078
200,"0.36952794784100007, 0.6282591271710001","0.210977941368, 0.180523292682",0.47497945433265815
201,"0.370804247506, 0.6189752553585","0.211894915934, 0.176572347718",0.4700771302131476
202,"0.37267306827800006, 0.6411375119005001","0.210673762245, 0.17587960576300002",0.4926547415570304
203,"0.374948647663, 0.706589914854","0.210963772579, 0.1740771977755",0.5571901229442618
204,"0.37726623781949997, 0.74862284428","0.21086225377899998, 0.1760137932225",0.596298089262008
205,"0.3718278880075, 0.766524521901","0.209166470667, 0.178988875496",0.609636672525334
206,"0.37198224450649997, 0.8009158282515001","0.21134232656750002, 0.17948040573750002",0.6418622652801786
207,"0.37698897900600004, 0.6913520322705","0.21011088095066666, 0.17800276678933336",0.5397923378305945
208,"0.380684516923, 0.6587639755870001","0.21321048474999998, 0.183312264781",0.5040851919672262
209,"0.380918819667, 0.6462261859314999","0.2148572755215, 0.18422155907249999",0.49094267657549556
210,"0.3741825129, 0.6243756417915001","0.214375739786, 0.18714057524",0.46552412199090626
211,"0.38031074524950004, 0.6319252240234999","0.2146829411935, 0.18698039146899997",0.4747720226523091
212,"0.38336391851850005, 0.6354896483215","0.21150836520533334, 0.19285211790299997",0.47482872126648284
213,"0.3759406224015, 0.6229752747485","0.212291504306, 0.192992454927",0.46007201522705493
214,"0.375222996547, 0.6232508005155","0.258151044353, 0.2468735977405",0.39416448439610546
215,"0.37392823438199996, 0.6251753555895","0.286866411935, 0.408547881829",0.23346782072835875
216,"0.384883723992, 0.719326717738","0.335043797057, 0.576215183782",0.15154184065176687
217,"0.39021125268, 0.900598096595",Noisy,One player's frame missing
218,"0.40008661868600004, 0.9282825641094999","0.37617917324666666, 0.6823312330200001",0.24711054856507336
219,"0.404933765233, 0.9255428130034999","0.37463497642099997, 0.6854449163795",0.24200210033539615
220,"0.4071734339005, 0.9288912422535","0.37628410091200004, 0.682621922579",0.24819896999265623
221,"0.40955393188950007, 0.9341916414385","0.376383618185, 0.6845880870659999",0.25179794293568114
222,"0.41297094478249996, 0.9361140594455","0.377460577229, 0.6855157870295",0.25310171935739273
223,"0.414581641124, 0.936496527224","0.37827996003666664, 0.6862077737453333",0.2529076356452515
224,"0.41668614551100003, 0.933019393505","0.379874878329, 0.6839516392715",0.251773341699362
225,"0.43171465608149995, 0.9336898832489999","0.37687158813199995, 0.676208670548",0.2632571689357975
226,Noisy,"0.39286860081849995, 0.664713375074",One player's frame missing
227,"0.512498815907, 0.9302862562819999","0.39999766902449996, 0.661831210306",0.2910749383919098
228,"0.5112437625303333, 0.930283111677","0.3995203019763333, 0.6677075861163333",0.2853559851512169
229,"0.5102054366944999, 0.9282546086579999","0.4010010624435, 0.6690978929375",0.2812255298840923
230,"0.5105346665820001, 0.9293473284645","0.400719661871, 0.6746311874940001",0.27737996995201464
231,"0.5197687161305, 0.938883159427","0.40432343791400005, 0.6767261738045",0.2864505147022095
232,"0.5228416621135, 0.9413311539589999","0.4056601237805, 0.6782864131990001",0.28796536001329026
233,"0.5146445753275, 0.9336635184535","0.40691388746300006, 0.6762259336979999",0.279069903702466
234,"0.5101545467649999, 0.930827334585","0.40822299151266667, 0.6761017637786667",0.2743631869963093
235,"0.5078575279295, 0.9290620264445","0.407028435693, 0.672750071463",0.2754311603789141
236,"0.5060616776985001, 0.923302963737","0.3735875814765, 0.609118604798",0.3409709629451549
237,"0.500169792729, 0.9255599969835",Noisy,One player's frame missing
238,Noisy,"0.18406428718850001, 0.43913810386200003",One player's frame missing
239,Noisy,"0.183780800692, 0.4151068422453334",One player's frame missing
240,Missing,"0.186504733702, 0.41380165043449996",One player's frame missing
241,"0.3321263754705, 0.8206812656479999","0.187651534453, 0.417648846744",0.42814496420563114
242,"0.337998485361, 0.8075345733570001","0.1896863529465, 0.413741616343",0.42079612832720587
243,"0.34394559729349994, 0.79742397359","0.1916542657, 0.41647003096350005",0.41026644522943373
244,"0.34707669304649996, 0.7897048529105","0.193406162872, 0.4166600471613333",0.4034563903825857
245,"0.34897645172025, 0.7975877432387499","0.194611401492, 0.420806779942",0.40717620637114466
246,"0.34713840891599995, 0.806117248796","0.198791466783, 0.418912287215",0.41464984928630483
247,Missing,"0.196951661336, 0.4165603645765",One player's frame missing
248,Missing,"0.19674415113049998, 0.4148852351245",One player's frame missing
249,"0.3322953995006666, 0.7822706608503333","0.20228438251050002, 0.373788464537",0.4286730330260838
250,"0.315003152019, 0.765905480366","0.21331891642700002, 0.31992882277650003",0.45742197463898854
251,"0.287605488324, 0.7483762173130001","0.2193379575235, 0.308481720996",0.44516022244983255
252,"0.28790491237250004, 0.7137787300355001","0.224626365672, 0.29312933474150005",0.42538228481418366
253,"0.3016255651995, 0.7267071725615","0.2262376618725, 0.288732447381",0.44441556663215065
254,"0.3069815280175, 0.730564961113","0.2271326312895, 0.2860547865005",0.4516250011267246
255,"0.29765606545800005, 0.7178429431255","0.228956252434, 0.28309320920900005",0.4401442893529349
256,"0.29331846097000003, 0.7127642312735","0.230074921964, 0.281320708002",0.43605419273173923
257,"0.289692258944, 0.7125761619165","0.23160075669250002, 0.28377900659099997",0.43271425103534206
258,"0.29021121671649996, 0.706576396026","0.23382916454199998, 0.28416593909550003",0.4261566964528914
259,"0.2889443778055, 0.7123078088479999","0.23549860838999997, 0.285179306177",0.4304592989614526
260,"0.3033752278185, 0.7308388591370001","0.2346968395446667, 0.28340003105833333",0.45267894350002863
261,"0.308597367385, 0.7305462939695","0.23340061509100002, 0.28087783579799996",0.45591257257274587
262,"0.3107367278565, 0.7252563079265","0.237666746827, 0.2893724454705",0.44196602095320925
263,"0.301691557605, 0.712378264398","0.24009589046750002, 0.331719475476",0.38561008777478506
264,"0.2923494399745, 0.7145508339655","0.24144619360450004, 0.40033005403550004",0.31831719876692555
265,Noisy,"0.23645142454949997, 0.41046229866649997",One player's frame missing
266,Noisy,"0.2394106467945, 0.4113609087615",One player's frame missing
267,Noisy,"0.23998385437050002, 0.4152216465885",One player's frame missing
268,Noisy,"0.240407737813, 0.4170550241605",One player's frame missing
269,Noisy,"0.2430110073735, 0.418805245274",One player's frame missing
270,Noisy,"0.2378993997035, 0.4148141598695",One player's frame missing
271,Noisy,"0.23117050932099997, 0.40938714225499995",One player's frame missing
272,Noisy,"0.229514379936, 0.406650628725",One player's frame missing
273,Noisy,"0.23074729859499998, 0.40279351237100003",One player's frame missing
274,Noisy,"0.2348575619115, 0.404506664351",One player's frame missing
275,"0.3782381531605, 0.7882673737729999","0.247182165208, 0.3989591284095",0.410775585796202
276,"0.3752171056555, 0.762886918203","0.247821318026, 0.395740422832",0.38862094098098776
277,"0.37010802541700005, 0.7459924806759999","0.245548295596, 0.3972442646345",0.37032478243456673
278,"0.366777579426, 0.739565924394","0.247533029416, 0.396077274666",0.36359828822348994
279,"0.3642870629155, 0.7423499198315","0.2469113879455, 0.3947238930025",0.36690721388871567
280,"0.373858896411, 0.7482043263605","0.245361860983, 0.39291788001399996",0.37780940574753985
281,"0.37942393673599994, 0.7552512798345001","0.24584019682199998, 0.39636967357",0.3829368392886729
282,"0.3806858795215, 0.7600304832785","0.245788677933, 0.398753583386",0.3856400567787842
283,"0.38048533791149997, 0.7581958433765","0.24477738108750002, 0.3953394375265",0.38740343417647266
284,"0.38227512931600005, 0.7584901319635","0.24534158910549997, 0.392540697975",0.39072980775861493
285,"0.384026094642, 0.7621563263390001","0.2435243900565, 0.393725120463",0.3943124173224509
286,"0.38204522974300004, 0.7562108856930001","0.2419434095195, 0.390339540785",0.3917784591509935
287,"0.3823531013515, 0.7576834284609999","0.2451152387705, 0.3934719028725",0.38920979727815685
288,"0.38357330072749996, 0.7570639058480001","0.241534319075, 0.391515723394",0.3921741271480083
289,"0.3732627640205, 0.740540312673","0.240077535674, 0.388309546105",0.37656980490579733
290,"0.367019620669, 0.7373390370645","0.241755780398, 0.3857599672045",0.37322764104908057
291,"0.3652936140105, 0.736209258504","0.239887909097, 0.379629622967",0.37798892484377317
292,"0.363945470632, 0.7322816323285","0.24055438410399999, 0.381183620548",0.3721493975687459
293,"0.3628917708195, 0.732194614396","0.238538501129, 0.37913274451",0.374321278649928
294,"0.3713310706095, 0.7416173132065","0.23744240829399998, 0.37720113743399997",0.3882335934219084
295,"0.3748905774295, 0.742324894784","0.23805540370400002, 0.381533380062",0.38586834783884894
296,"0.376092014245, 0.740155422167","0.238224752407, 0.38383258308650003",0.3820645855573316
297,"0.37008564318, 0.7395809660174999","0.238223353837, 0.382825323343",0.38034491179832086
298,"0.365475548874, 0.7338190515710001","0.237542890781, 0.38054059228899995",0.3757292040810833
299,"0.3630735450775, 0.728346204587","0.2353606923485, 0.377228321459",0.3736232602561932
300,"0.36288026756299996, 0.7287703646125001","0.236300622072, 0.3790587510155",0.3719148011806531
301,"0.36276835180699996, 0.73149323978","0.24295818714599998, 0.380569064351",0.3708129615542309
302,"0.363413164954, 0.7312783610285","0.24422681986, 0.37622581620900003",0.3745232895824625
303,"0.3603291599755, 0.7302064883285","0.2444957821805, 0.3796437777525",0.3692039889516249
304,"0.3602596766615, 0.7295831185995001","0.244781020746, 0.38051311086",0.3676753870947919
305,"0.36079671605200003, 0.7273045045444999","0.244835483794, 0.3804353829385",0.36573924442218636
306,"0.3554794804715, 0.7299737999675","0.2462433844075, 0.38082316872850003",0.3658397025718991
307,"0.33995335861449993, 0.7413402260924999","0.25242414094700005, 0.37780860061050003",0.37392058872315337
308,"0.34866930668949997, 0.737625428606","0.2504037198295, 0.37826042550899996",0.3725578223737183
309,"0.3521720404855, 0.731763228909","0.246913251627, 0.37004081599699995",0.37672604984900865
310,"0.356146902441, 0.731131342481","0.216032928401, 0.3254541272265",0.42919218154333577
311,Noisy,"0.19323274462650003, 0.284211613814",One player's frame missing
312,"0.471649622139, 0.8683555254459999","0.186011727299, 0.27191864160799994",0.6613062553545148
313,Noisy,"0.182922760306, 0.263768468842",One player's frame missing
314,"0.489376349401, 0.8947617090989999","0.18210044642200002, 0.2616702224635",0.7037210462973998
315,"0.487122739313, 0.8894733219125","0.1806781970435, 0.262719087268",0.697659750975772
316,"0.4952742683775, 0.895769776715","0.1816365066675, 0.2613156390835",0.7077433845174317
317,"0.5004348923535, 0.9041447475020001","0.18140105834050002, 0.256485153275",0.7219733632477842
318,"0.501220151375, 0.899321244115","0.184982438365, 0.2740628475685",0.7006813495317934
319,"0.5026237330476667, 0.9025427980083333","0.296665219945, 0.47696579499299996",0.4727945585716637
320,"0.5014487776025001, 0.9025667141585001","0.38031421531900006, 0.616923065204",0.3102674271780021
321,"0.5030085516414999, 0.901790791076","0.3736284579125, 0.621401314184",0.3088000443735302
322,"0.505194412153, 0.9037515881795","0.3750082020305, 0.6218740350675",0.310488976059486
323,"0.5097346212839999, 0.9140682936419999","0.375456867499, 0.6289579808555",0.31514822801145637
324,"0.4968750833853333, 0.9233750209186667","0.3738816896575, 0.634063137686",0.3143703877281097
325,"0.4935864986535, 0.9213240100310001","0.3742842453685, 0.637903981514",0.30750600027228
326,"0.46807496981749996, 0.9810407369755","0.375202287092, 0.639056734566",0.35437041792544177
327,"0.43512423418650004, 0.9399471272955","0.37589621734449996, 0.6414822077910001",0.30428484377941645
328,"0.441889546668, 0.993180788351","0.374783454774, 0.641982499358",0.35755204622669506
329,"0.4300853377685, 0.957737609397","0.3760002035985, 0.643496250472",0.31886177788693587
330,"0.42792387935666665, 0.9388885075533334","0.37716539832, 0.6458998834845",0.2973529169705551
331,"0.4261035336575, 0.9251314887695","0.376359236153, 0.6484780176795",0.2810900891179938
332,"0.425027063268, 0.9183101595979999","0.37452600635, 0.642125510571",0.28076381018215685
333,"0.450020354365, 0.903480103925","0.376000369936, 0.6465306859793334",0.267398506872208
